Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
       52    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
      184    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.022    0.022 ssl_.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       16    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.050    0.050 compat.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:159(_split_optional_netmask)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
       32    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
    48/31    0.000    0.000    0.002    0.000 typing.py:400(__getitem__)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       16    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      162    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.028    0.028 client.py:1(<module>)
        1    0.000    0.000    0.009    0.009 css_match.py:1(<module>)
      174    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       70    0.000    0.000    0.000    0.000 typing.py:1225(__eq__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1589(_make_netmask)
        1    0.000    0.000    0.112    0.112 element.py:1(<module>)
